UID          PID    PPID  C STIME TTY          TIME CMD
dan         1734    1372  0 23:24 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
dan         1737    1372  0 23:24 ?        00:00:00 /usr/libexec/xdg-permission-store
dan         1741    1372  0 23:24 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
dan         1749    1372  0 23:24 ?        00:00:00 /usr/libexec/evolution-source-registry
dan         1758    1372  0 23:24 ?        00:00:00 /usr/libexec/evolution-calendar-factory
dan         1767    1372  0 23:24 ?        00:00:00 /usr/libexec/dconf-service
dan         1769    1372  0 23:24 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
dan         1776    1372  0 23:24 ?        00:00:00 /usr/libexec/gvfsd-metadata
dan         1791    1372  0 23:24 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
dan         1801    1387  0 23:24 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
dan         1806    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-a11y-settings
dan         1807    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-color
dan         1808    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-datetime
dan         1813    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-housekeeping
dan         1814    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-keyboard
dan         1818    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-media-keys
dan         1822    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-power
dan         1824    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-print-notifications
dan         1826    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-rfkill
dan         1828    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
dan         1836    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-sharing
dan         1839    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-smartcard
dan         1841    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-sound
dan         1842    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-usb-protection
dan         1845    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-wacom
dan         1846    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-wwan
dan         1849    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-xsettings
dan         1851    1665  0 23:24 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
dan         1897    1665  0 23:24 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
dan         1958    1712  0 23:24 ?        00:00:00 /usr/libexec/ibus-engine-simple
dan         1974    1372  0 23:24 ?        00:00:00 /usr/libexec/gsd-printer
dan         2086    1665  0 23:25 ?        00:00:00 update-notifier
root        2152       2  0 23:29 ?        00:00:00 [kworker/3:0-cgroup_destroy]
root        2155       2  0 23:29 ?        00:00:00 [kworker/1:0]
root        2156       2  0 23:29 ?        00:00:00 [kworker/u8:2-events_unbound]
dan         2162    1372  1 23:30 ?        00:00:02 /usr/bin/nautilus --gapplication-service
root        2187       2  0 23:31 ?        00:00:00 [kworker/2:0-events]
root        2188       2  0 23:31 ?        00:00:00 [kworker/0:0-events]
dan         2193    1389  0 23:31 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
dan         2226    1372  0 23:32 ?        00:00:00 /usr/libexec/gnome-terminal-server
dan         2234    2226  0 23:32 pts/0    00:00:00 bash
dan         2515    2234  0 23:33 pts/0    00:00:00 ps -ef
